n_agents,n_waters,layout,arch_label,architecture,broadcast_every_k,hazard_density,n_seeds,success_rate_mean,success_rate_std,mean_t_succ_mean,mean_t_succ_std,p95_t_succ_mean,total_trail_mean,n_hazard_hits_mean,scarcity
5,2,random,shared,shared,-1,0.0,20,0.39,0.0447213595499958,10.075,4.609129955573874,13.8,199.65,0.0,2.5
5,2,random,shared,shared,-1,0.05,20,0.39,0.0447213595499958,10.075,4.609129955573874,13.8,199.65,21.25,2.5
5,2,random,shared,shared,-1,0.1,20,0.39,0.0447213595499958,10.075,4.609129955573874,13.8,199.65,42.25,2.5
5,2,symmetric,centralized,centralized,-1,0.0,20,0.4,0.0,5.5,0.0,6.0,152.0,0.0,2.5
5,2,symmetric,centralized,centralized,-1,0.05,20,0.4,0.0,5.5,0.0,6.0,152.0,28.9,2.5
5,2,symmetric,centralized,centralized,-1,0.1,20,0.4,0.0,5.5,0.0,6.0,152.0,39.95,2.5
5,2,symmetric,independent,independent,-1,0.0,20,0.4,0.0,5.5,0.0,6.0,286.0,0.0,2.5
5,2,symmetric,independent,independent,-1,0.05,20,0.4,0.0,5.5,0.0,6.0,286.0,19.45,2.5
5,2,symmetric,independent,independent,-1,0.1,20,0.4,0.0,5.5,0.0,6.0,286.0,37.3,2.5
5,2,symmetric,peer(K=1),peer,1,0.0,20,0.4,0.0,5.5,0.0,6.0,152.0,0.0,2.5
5,2,symmetric,peer(K=1),peer,1,0.05,20,0.4,0.0,5.5,0.0,6.0,152.0,28.9,2.5
5,2,symmetric,peer(K=1),peer,1,0.1,20,0.4,0.0,5.5,0.0,6.0,152.0,39.95,2.5
5,2,symmetric,peer(K=16),peer,16,0.0,20,0.4,0.0,5.5,0.0,6.0,290.0,0.0,2.5
